id,name,lat,lon
212,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CANTO DO BURITI/PI,-8.117939,-42.975721
209,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SÃO PEDRO DO PIAUÍ/PI,-5.911033,-42.718729
205,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE S. RAIMUNDO NONATO/PI,-9.033211,-42.701112
203,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ESPERANTINA/PI,-3.899365,-42.259483
207,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE OEIRAS/PI,-6.974135,-42.146831
200,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PIRIPIRI/PI,-4.276047,-41.794568
210,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE VALENÇA DO PIAUÍ/PI,-6.399274,-41.739953
204,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PICOS/PI,-7.071016,-41.404042
198,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PAULISTANA/PI,-8.132288,-41.142945
222,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE POÇO VERDE/SE,-10.738020,-38.108389
217,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE APODI/RN,-5.626559,-37.814991
223,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CARIRA/SE,-10.399719,-37.747503
216,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MOSSORÓ/RN,-4.904087,-37.366943
214,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CAICÓ/RN,-6.467474,-37.084931
220,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ARACAJÚ/SE,-10.952413,-37.054330
224,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BREJO GRANDE/SE,-10.473959,-36.482051
219,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SANTA CRUZ/RN,-6.227922,-36.026587
218,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CALCANHAR/RN,-5.159925,-35.487616
252,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PORTO GRANDE/AP,0.000000,0.000000
282,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CACOAL/RO,-11.445837,-61.434146
284,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BOA VISTA/RR,2.816897,-60.690821
281,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE VILHENA/RO,-12.734862,-60.157784
267,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ITAITUBA/PA,-4.276978,-55.993087
268,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ÓBIDOS/PA,-1.880789,-55.519856
279,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SANTARÉM/PA,-2.502572,-54.720279
273,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MONTE ALEGRE/PA,-2.000054,-54.076479
269,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SANTANA DO ARAGUAIA/PA,-9.338611,-50.350280
266,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SERRA DOS CARAJÁS/PA,-6.077427,-50.142265
271,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE NOVO REPARTIMENTO/PA,-4.243989,-49.939308
294,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MARIANOPOLID DO TO/TO,-9.576389,-49.723330
265,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE TUCURUÍ/PA,-3.822760,-49.674956
299,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PIUM/TO,-10.476944,-49.629475
292,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE FORMOSO DO ARAGUAIA/TO,-11.887377,-49.608215
320,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ITUIUTABA/MG,-18.952907,-49.525072
327,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CAMPINA VERDE/MG,-19.539210,-49.518133
