Nome,Latitude,Longitude,Altitude
São Gabriel do Oeste-A732,-19.420320,-54.553088,646 
Sete Quedas-A751,-23.966893,-55.024227,398 
Sidrolândia-A754,-20.981637,-54.971870,471 
Sonora-A761,-17.635277,-54.760470,495 
Três Lagoas-A704,-20.7900,-51.7122,329 
Água Boa-A908,-14.016496,-52.211690,440 
Alta Floresta-A924,-10.077262,-56.179221,292 
Alto Araguaia-A909,-17.339359,-53.224449,753 
Alto Taquari-A934,-17.841011,-53.289474,862 
Apiacás-A910,-9.563392,-57.393578,218 
Cáceres-A941,-16.074740,-57.693047,124 
Campo Novo dos Parecis-A905,-13.785907,-57.838485,525 
Campo Verde-A912,-15.531431,-55.135649,748 
Carlinda-A926,-9.970586,-55.827543,294 
Comodoro-A913,-13.708046,-59.762385,577 
Confresa-A918,-10.639518,-51.571456,233 
Cotriguaçu-A919,-9.906296,-58.572235,265 
Cuiabá-A901,-15.559295,-56.062951,242 
Gaucha do Norte-A930,-13.184857,-53.257366,376 
Guarantã do Norte-A906,-9.952594,-54.897834,284 
Guiratinga-A932,-16.341587,-53.766089,525 
Itiquira-A933,-17.175051,-54.501690,593 
Juara-A914,-11.280158,-57.526641,263 
Juína-A920,-11.375126,-58.774785,365 
Nova Maringá-A928,-13.038642,-57.092201,334 
Nova Ubiratã-A929,-13.411105,-54.752144,466 
Novo Mundo-A927,-12.521901,-58.231401,426 
Paranatinga-A915,-14.421492,-54.036055,477 
Pontes e Lacerda-A937,-15.234582,-59.346215,273 
Porto Estrela-A935,-15.324728,-57.225845,148 
Primavera do Leste-A923,-15.579944,-54,381001,680 
Querência-A916,-12.627315,-52.220891,361 
Rondonópolis-A907,-16.462419,-54.580151,290 
Salto do Céu-A936,-15.124811,-58.127092,301 
Santo Antônio do Leste-A931,-14.927883,-53.883643,664 
São Félix do Araguaia-A921,-11.619023,-50.727856,201 
São José do Rio Claro-A903,-13.453981,-56.677323,340 
Sapezal-A911,-13.304085,-58.763525,555 
Sinop-A917,-11.982245,-55.565993,367 
Sorriso-A904,-12.555107,-55.722863,379 
Tangará da Serra-A902,-14.650117,-57.431556,440 
Vila Bela da Santíssima Trindade-A922,-15.062696,-59.872921,213 
Belém-A201,-1.411228,-48.439512,21 
Bragança-A226,-1.047258,-46.785790,41 
Breves-A228,-1.680251,-50.478139,11 
Cametá-A236,-2.239653,-49.499827,10 
Capitão Poço-A248,-1.734766,-47.057500,79 
Castanhal-A202,-1.300875,-47.947967,47 
Conceição do Araguaia-A241,-8.30361,-49.28277,176 
Itaituba-A231,-4.276978,-55.993087,24 
Marabá-A240,-5.366447,-49.051166,117 
Medicilandia-A209,-3.510943,-52.963450,252 
Mina Palito-A246,-6.320067,-55.787783,260 
Monte Alegre-A239,-2.000054,-54.076479,101 
Novo Repartimento-A235,-4.243989,-49.939308,101 
Óbidos-A232,-1.880789,-55.519856,90 
Pacajá-A210,-3.843701,-50.638098,89 
Paragominas-A212,-2.990361,-47.407833,113 
Placas-A211,-3.864040,-54.216416,100 
Rondon do Pará-A214,-4.827501,-48.173556,203 
Salinópolis-A215,-0.618884,-47.356596,23 
Santana do Araguaia-A233,-9.338611,-50.35028,177 
Santarém-A250,-2.502572,-54.720279,137 
São Félix do Xingu-A216,-6.639622,-51.956966,211 
Serra dos Carajás-A230,-6.077427,-50.142265,707 
Soure-A227,-0.727827,-48.515795,13 
Tomé Açu-A213,-2.592606,-48.360585,43 
Tucumã-A234,-6.743208,-51.141899,321 
Tucuruí-A229,-3.822760,-49.674956,138 
Xinguara-A247,-7.110518,-49.926072,245 
