nome-slug,cod,lat,lon,alt,id
sete-lagoas,A569,-19.455288,-44.17338,719,369
mocambinho,A539,-15.085958,-44.016036,454,347
ibirite-rola-moca,A555,-20.031457,-44.011249,1199,363
belo-hor-pampulha,A521,-19.883945,-43.969397,854,329
belo-horizonte-cercadinho,F501,-19.980034,-43.958651,1200,370
alvorada-do-gurgueia,A336,-8.441598,-43.865443,261,201
montes-claros,A506,-16.686316,-43.843763,646,314
barbacena,A502,-21.228373,-43.767703,1169,312
ouro-branco,A513,-20.556592,-43.75622,1048,321
valenca,A611,-22.358094,-43.695656,367,380
ecologia-agricola,A601,-22.757868,-43.684843,35,371
buritirama,A432,-10.722925,-43.651203,506,122
diamantina,A537,-18.231052,-43.648269,1359,345
santana,A217,-2.270811,-43.624043,10,163
marambaia,A602,-23.050334,-43.595685,9,372
vila-militar,A621,-22.861322,-43.41141,30,384
bom-jesus-da-lapa,A418,-13.251094,-43.405365,448,111
jacarepagua,A636,-22.939883,-43.402897,20,389
juiz-de-fora,A518,-21.769965,-43.364329,937,326
chapadinha,A206,-3.742674,-43.352084,104,161
caxias,A237,-4.821352,-43.343659,85,172
caracol,A337,-9.28588,-43.324438,515,202
pico-do-couto,A610,-22.464889,-43.291505,1758,379
xerem,A603,-22.589806,-43.282233,24,373
coronel-pacheco,A557,-21.546728,-43.261029,411,365
ibotirama,A439,-12.19306,-43.21342,425,129
tres-rios,A625,-22.098391,-43.208574,305,386
forte-de-copacabana,A652,-22.988286,-43.190436,26,388
barra,A429,-11.084858,-43.138998,408,119
floriano,A311,-6.761438,-43.003396,126,195
teresopolis,A618,-22.448922,-42.987146,991,381
canto-do-buriti,A365,-8.117939,-42.975721,312,212
guanhaes,A533,-18.786842,-42.942921,853,341
vicosa,A510,-20.762607,-42.864013,698,318
espinosa,A543,-14.912284,-42.808473,565,351
teresina,A312,-5.034769,-42.801341,75,196
guanambi,A426,-14.2081235,-42.749647,552,116
sao-pedro-do-piaui,A362,-5.911033,-42.718729,296,209
preguicas,A218,-2.592341,-42.707553,5,164
s-raimundo-nonato,A345,-9.033211,-42.701112,383,205
nova-friburgo,A624,-22.334839,-42.676932,1065,385
timoteo,A511,-19.573824,-42.622413,493,319
macaubas,A454,-13.0389,-42.6172,574,142
saquarema,A667,-22.871321,-42.609219,26,391
pilao-arcado,A449,-10.002261,-42.473641,400,139
rio-pardo-de-minas,A551,-15.723139,-42.43575,850,359
silva-jardim,A659,-22.645911,-42.415775,19,390
capelinha,A541,-17.705504,-42.389256,932,349
muriae,A517,-21.104867,-42.375904,283,325
salinas,A552,-16.160327,-42.310266,487,360
esperantina,A338,-3.899365,-42.259483,88,203
sao-joao-do-piaui,A331,-8.364977,-42.250369,237,199
manhuacu,A556,-20.263378,-42.182817,819,364
oeiras,A354,-6.974135,-42.146831,154,207
caratinga,A554,-19.735757,-42.137146,609,362
remanso,A423,-9.625693,-42.077214,397,113
arraial-do-cabo,A606,-22.975468,-42.02145,3,375
governador-valadares,A532,-18.830354,-41.977007,198,340
cambuci,A604,-21.587729,-41.958327,60,374
irece,A424,-11.328998,-41.864504,768,114
macae,A608,-22.376318,-41.812053,25,377
piripiri,A335,-4.276047,-41.794568,158,200
parnaiba,A308,-3.086656,-41.783139,52,194
piata,A430,-13.155681,-41.774125,1284,120
valenca-do-piaui,A363,-6.399274,-41.739953,313,210
brumado,A433,-14.181886,-41.672281,473,123
teofilo-otoni,A527,-17.89284,-41.515423,467,335
castelo-do-piaui,A361,-5.349228,-41.512274,269,208
alegre,A617,-20.750412,-41.488852,129,308
itaobim,A550,-16.575667,-41.485588,272,358
aguas-vermelhas,A549,-15.751536,-41.457787,754,357
picos,A343,-7.071016,-41.404042,233,204
lencois,A425,-12.557854,-41.388808,438,115
delfino,A443,-10.45492,-41.206996,646,133
paulistana,A330,-8.132288,-41.142945,376,198
afonso-claudio,A657,-20.104194,-41.106861,507,311
aimores,A534,-19.532768,-41.090801,288,342
sao-tome,A620,-22.041647,-41.051871,7,383
campos,A620,-22.041647,-41.051871,7,376
pres-kennedy,A622,-21.100805,-41.039395,69,309
mantena,A540,-18.78062,-40.986505,255,348
vitoria-da-conquista,A414,-14.886428,-40.80133,879,108
alfredo-chaves,A615,-20.636526,-40.741818,14,306
almenara,A508,-16.166773,-40.687756,189,316
crateus,A342,-5.186636,-40.672128,298,153
santa-teresa,A613,-19.988388,-40.579572,976,304
petrolina,A307,-9.388323,-40.523262,373,183
jacobina,A440,-11.205136,-40.464979,441,130
nova-venecia,A623,-18.695265,-40.390572,156,310
campos-sales,A347,-7.07773,-40.362678,578,154
macajuba,A412,-12.131694,-40.354222,339,106
sobral,A306,-3.748177,-40.34572,92,145
vitoria,A612,-20.271094,-40.306069,9,303
itaberaba,A408,-12.524062,-40.299714,250,103
taua,A324,-6.017474,-40.281321,411,149
serra-dos-aimores,A522,-17.798799,-40.249933,212,330
itapetinga,A446,-15.24462,-40.22955,271,136
senhor-do-bonfim,A428,-10.443072,-40.148244,532,118
itirucu,A407,-13.527828,-40.119752,757,102
ouricuri,A366,-7.885833,-40.102683,458,193
acarau,A360,-3.121067,-40.087288,67,157
linhares,A614,-19.356923,-40.06868,38,305
curaca,A448,-9.0013,-39.9124,370,138
sao-mateus,A616,-18.676198,-39.864051,29,307
ipiau,A445,-14.171304,-39.692502,132,135
queimadas,A436,-10.984645,-39.617009,310,126
amargosa,A434,-13.009468,-39.616881,398,124
itapipoca,A359,-3.484298,-39.588715,104,156
itamaraju,A455,-17.436667,-39.550861,110,143
uaua,A435,-9.833617,-39.495631,451,125
cabrobo,A329,-8.504,-39.31528,343,187
quixeramobim,A325,-5.174568,-39.289393,221,150
barbalha,A315,-7.300925,-39.271107,409,147
iguatu,A319,-6.396375,-39.268954,222,148
caravelas,A405,-17.739413,-39.258617,6,100
belmonte,A447,-16.088049,-39.215389,90,137
porto-seguro,A427,-16.388977,-39.182389,86,117
ilheus,A410,-14.658803,-39.181438,80,104
valenca,A444,-13.34361,-39.12667,93,134
una,A437,-15.280215,-39.09127,74,127
cruz-das-almas,A406,-12.675422,-39.08958,220,101
serrinha,A441,-11.664586,-39.022946,338,131
euclides-da-cunha,A442,-10.537233,-38.996605,432,132
marau,A438,-13.90694,-38.97222,6,128
feira-de-santana,A413,-12.1962,-38.967384,230,107
guaramiranga,A314,-4.261351,-38.931068,866,146
abrolhos,A422,-17.963016,-38.703288,21,112
jaguaribe,A358,-5.905589,-38.627792,149,155
floresta,A351,-8.598785,-38.584062,327,191
fortaleza,A305,-3.815701,-38.537792,30,144
salvador,A401,-13.005515,-38.50576,48,96
morada-nova,A332,-5.136689,-38.35659,45,151
jeremoabo,A450,-10.0807,-38.3459,261,140
sao-goncalo,A333,-6.835777,-38.311583,237,178
serra-talhada,A350,-7.954277,-38.295082,499,190
paulo-afonso,A411,-9.378106,-38.226771,255,105
poco-verde,A419,-10.73802,-38.108389,367,222
apodi,A340,-5.626559,-37.814991,131,217
itabaianinha,A417,-11.2725,-37.795,205,221
jaguaruana,A339,-4.853511,-37.777189,17,152
carira,A420,-10.399719,-37.747503,290,223
ibimirim,A349,-8.509552,-37.711591,434,189
conde,A431,-12.035833,-37.683889,32,121
pao-de-acucar,A323,-9.74922,-37.430765,21,91
mossoro,A318,-4.904087,-37.366943,29,216
patos,A321,-7.079836,-37.272817,264,177
monteiro,A334,-7.894465,-37.124704,606,179
caico,A316,-6.467474,-37.084931,171,214
arco-verde,A309,-8.433544,-37.055477,684,184
aracaju,A409,-10.952413,-37.05433,4,220
palmeira-dos-indios,A327,-9.420334,-36.620371,278,92
arapiraca,A353,-9.804551,-36.619198,237,93
macau,A317,-5.151035,-36.573142,17,215
garanhuns,A322,-8.91095,-36.493381,828,185
brejo-grande,A421,-10.473959,-36.482051,6,224
cabaceiras,A348,-7.483206,-36.286469,392,180
coruripe,A355,-10.128482,-36.286348,82,94
santa-cruz,A367,-6.227922,-36.026587,227,219
caruaru,A341,-8.236069,-35.98555,570,188
campina-grande,A313,-7.225574,-35.904831,546,175
surubim,A328,-7.839628,-35.801056,421,186
maceio,A303,-9.551168,-35.770195,84,90
areia,A310,-6.975451,-35.718128,573,174
palmares,A357,-8.666667,-35.567921,164,192
sao-luis-do-quitunde,A356,-9.287481,-35.565878,14,95
calcanhar,A344,-5.159925,-35.487616,10,218
natal,A304,-5.837187,-35.207921,47,213
camaratuba,A352,-6.561813,-35.135316,136,181
recife,A301,-8.05928,-34.959239,11,182
joao-pessoa,A320,-7.165409,-34.815627,34,176
arembepe,ZZZ1,0,0,0,98
moela,ZZZ3,0,0,0,418
goioere,A003,0,0,0,432
mineiros,A026,0,0,0,18
porto-grande,A244,0,0,0,252
