id-ditc,nome-slug,nome-antes,nome,cod,lat,lon,alt,id,name-original,elevação,lat_dms,lon_dms,Igualdade,FuzzySet
78,senhor-do-bonfim,Senhor do Bonfim-A428,Senhor do Bonfim,A428,-10.443072,-40.148244,532 ,118,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SENHOR DO BONFIM/BA,548.00,10°26'S,40°08'W,IGUAL,1
79,serrinha,Serrinha-A441,Serrinha,A441,-11.664586,-39.022946,338 ,131,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SERRINHA/BA,339.00,11°39'S,39°01'W,IGUAL,1
80,uaua,Uauá-A435,Uauá,A435,-9.833617,-39.495631,451 ,125,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE UAUÁ/BA,453.00,09°50'S,39°29'W,IGUAL,1
81,una,Una-A437,Una,A437,-15.280215,-39.091270,74 ,127,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE UNA/BA,82.00,15°16'S,39°05'W,IGUAL,1
404,valenca,Valença-A611,Valença,A611,-22.358094,-43.695656,367 ,134,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE VALENÇA/BA,105.00,13°20'S,39°07'W,IGUAL,1
404,valenca,Valença-A611,Valença,A611,-22.358094,-43.695656,367 ,380,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE VALENÇA/RJ,367.00,22°21'S,43°42'W,IGUAL,1
83,vitoria-da-conquista,Vitória da Conquista-A414,Vitória da Conquista,A414,-14.886428,-40.801330,879 ,108,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE VITORIA DA CONQUISTA/BA,870.00,14°53'S,40°28'W,IGUAL,1
84,acarau,Acaraú-A360,Acaraú,A360,-3.121067,-40.087288,67 ,157,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ACARAÚ/CE,76.00,03°07'S,40°05'W,IGUAL,1
85,barbalha,Barbalha-A315,Barbalha,A315,-7.300925,-39.271107,409 ,147,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BARBALHA/CE,409.00,07°18'S,39°16'W,IGUAL,1
86,campos-sales,Campos Sales-A347,Campos Sales,A347,-7.077730,-40.362678,578 ,154,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CAMPOS SALES/CE,572.00,07°04'S,40°21'W,IGUAL,1
87,crateus,Crateús-A342,Crateús,A342,-5.186636,-40.672128,298 ,153,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CRATEUS/CE,291.00,05°11'S,40°40'W,IGUAL,1
88,fortaleza,Fortaleza-A305,Fortaleza,A305,-3.815701,-38.537792,30 ,144,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE FORTALEZA/CE,41.00,03°46'S,38°33'W,IGUAL,1
89,guaramiranga,Guaramiranga-A314,Guaramiranga,A314,-4.261351,-38.931068,866 ,146,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE GUARAMIRANGA/CE,38.20,04°15'S,38°11'W,IGUAL,1
90,iguatu,Iguatu-A319,Iguatu,A319,-6.396375,-39.268954,222 ,148,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE IGUATÚ/CE,233.00,06°23'S,39°16'W,IGUAL,1
91,itapipoca,Itapipoca-A359,Itapipoca,A359,-3.484298,-39.588715,104 ,156,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ITAPIPOCA/CE,102.00,03°29'S,39°35'W,IGUAL,1
92,jaguaribe,Jaguaribe-A358,Jaguaribe,A358,-5.905589,-38.627792,149 ,155,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE JAGUARIBE/CE,184.00,05°54'S,38°37'W,IGUAL,1
93,jaguaruana,Jaguaruana-A339,Jaguaruana,A339,-4.853511,-37.777189,17 ,152,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE JAGUARUANA/CE,12.00,04°47'S,37°46'W,IGUAL,1
94,morada-nova,Morada Nova-A332,Morada Nova,A332,-5.136689,-38.356590,45 ,151,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MORADA NOVA/CE,43.60,05°08'S,38°21'W,IGUAL,1
95,quixeramobim,Quixeramobim-A325,Quixeramobim,A325,-5.174568,-39.289393,221 ,150,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE QUIXERAMOBIM/CE,79.50,05°10'S,39°17'W,IGUAL,1
96,sobral,Sobral-A306,Sobral,A306,-3.748177,-40.345720,92 ,145,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SOBRAL/CE,109.62,03°43'S,40°20'W,IGUAL,1
97,taua,Tauá-A324,Tauá,A324,-6.017474,-40.281321,411 ,149,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE TAUÁ/CE,415.00,06°01'S,40°16'W,IGUAL,1
98,aguas-emendadas,Águas Emendadas-A045,Águas Emendadas,A045,-15.596491,-47.625801,1.030 ,2,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE AGUAS EMENDADAS/GO,1200.00,15°35'S,47°37'W,IGUAL,1
99,brasilia,Brasília-A001,Brasília,A001,-15.789343,-47.925756,1.161 ,1,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BRASILIA/DF,1159.54,15°47'S,47°55'W,IGUAL,1
102,afonso-claudio,Afonso Cláudio-A657,Afonso Cláudio,A657,-20.104194,-41.106861,507 ,311,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE AFONSO CLAUDIO/ES,520.00,20°06'S,41°06'W,IGUAL,1
103,alegre,Alegre-A617,Alegre,A617,-20.750412,-41.488852,129 ,308,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ALEGRE/ES,138.00,20°45'S,41°29'W,IGUAL,1
104,alfredo-chaves,Alfredo Chaves-A615,Alfredo Chaves,A615,-20.636526,-40.741818,14 ,306,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ALFREDO CHAVES/ES,35.00,20°38'S,40°44'W,IGUAL,1
106,linhares,Linhares-A614,Linhares,A614,-19.356923,-40.068680,38 ,305,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE LINHARES/ES,40.00,19°21'S,40°04'W,IGUAL,1
108,nova-venecia,Nova Venécia-A623,Nova Venécia,A623,-18.695265,-40.390572,156 ,310,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE NOVA VENECIA/ES,154.00,18°41'S,40°23'W,IGUAL,1
110,santa-teresa,Santa Teresa-A613,Santa Teresa,A613,-19.988388,-40.579572,976 ,304,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SANTA TERESA/ES,988.00,19°59'S,40°34'W,IGUAL,1
111,sao-mateus,São Mateus-A616,São Mateus,A616,-18.676198,-39.864051,29 ,307,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SÃO MATEUS/ES,39.00,18°42'S,39°50'W,IGUAL,1
114,vitoria,Vitória-A612,Vitória,A612,-20.271094,-40.306069,9 ,303,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE VITÓRIA/ES,9.00,20°16'S,40°18'W,IGUAL,1
116,aragarcas,Aragarças-A013,Aragarças,A013,-15.902658,-52.245172,327 ,9,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ARAGARÇAS/GO,347.00,15°54'S,52°14'W,IGUAL,1
117,caiaponia,Caiapônia-A023,Caiapônia,A023,-16.966841,-51.817567,740 ,15,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CAIAPÔNIA/GO,737.00,16°58'S,51°49'W,IGUAL,1
118,catalao,Catalão-A034,Catalão,A034,-18.154779,-47.927614,901 ,23,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CATALÃO/GO,890.00,18°09'S,47°55'W,IGUAL,1
119,cristalina,Cristalina-A036,Cristalina,A036,-16.784896,-47.612966,1.211 ,25,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CRISTALINA/GO,1202.00,16°47'S,47°36'W,IGUAL,1
122,goianesia,Goianésia-A022,Goianésia,A022,-15.220199,-48.990107,667 ,14,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE GOIANESIA/GO,667.00,15°13'S,48°59'W,IGUAL,1
123,goiania,Goiânia-A002,Goiânia,A002,-16.642841,-49.220222,727 ,4,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE GOIANIA/GO,770.00,16°38'S,49°13'W,IGUAL,1
124,goias,Goiás-A014,Goiás,A014,-15.939729,-50.141433,513 ,10,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE GOIÁS/GO,512.00,15°56'S,50°08'W,IGUAL,1
125,ipora,Iporá-A028,Iporá,A028,-16.423059,-51.148801,610 ,20,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE IPORA/GO,625.00,16°25'S,51°08'W,IGUAL,1
126,itapaci,Itapaci-A015,Itapaci,A015,-14.979792,-49.539977,551 ,11,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ITAPACI/GO,522.00,14°58'S,49°32'W,IGUAL,1
127,itumbiara,Itumbiara-A035,Itumbiara,A035,-18.409761,-49.192061,491 ,24,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ITUMBIARA/GO,488.00,18°24'S,49°11'W,IGUAL,1
128,jatai,Jataí-A016,Jataí,A016,-17.923622,-51.717467,670 ,12,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE JATAÍ/GO,582.00,17°55'S,51°43'W,IGUAL,1
129,luziania,Luziânia-A012,Luziânia,A012,-16.260542,-47.966962,1.001 ,8,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE LUZIANIA/GO,958.00,16°16'S,47°57'W,IGUAL,1
131,morrinhos,Morrinhos-A003,Morrinhos,A003,-17.745066,-49.101698,751 ,5,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MORRINHOS/GO,771.42,17°43'S,49°06'W,IGUAL,1
132,niquelandia,Niquelândia-A004,Niquelândia,A004,-14.469358,-48.485756,664 ,6,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE NIQUELANDIA/GO,583.00,14°27'S,48°27'W,IGUAL,1
133,parauna,Paraúna-A027,Paraúna,A027,-16.962536,-50.425450,679 ,19,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PARAUNA/GO,678.00,16°57'S,50°25'W,IGUAL,1
134,pires-do-rio,Pires do Rio-A033,Pires do Rio,A033,-17.304153,-48.284131,757 ,22,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PIRES DO RIO/GO,752.00,17°18'S,48°16'W,IGUAL,1
135,posse,Posse-A017,Posse,A017,-14.089210,-46.366497,830 ,13,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE POSSE/GO,834.00,14°05'S,46°21'W,IGUAL,1
136,rio-verde,Rio Verde-A025,Rio Verde,A025,-17.785303,-50.964869,780 ,17,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE RIO VERDE/GO,782.00,17°47'S,50°57'W,IGUAL,1
138,sao-simao,São Simão-A011,São Simão,A011,-18.969142,-50.633449,492 ,7,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SÃO SIMÃO/GO,488.51,18°58'S,50°37'W,IGUAL,1
139,silvania,Silvânia-A037,Silvânia,A037,-16.679786,-48.618171,952 ,26,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SILVANIA/GO,949.00,16°40'S,48°37'W,IGUAL,1
140,alto-parnaiba,Alto Parnaíba-A223,Alto Parnaíba,A223,-9.108199,-45.932016,284 ,169,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ALTO PARNAÍBA/MA,281.00,09°06'S,45°55'W,IGUAL,1
141,bacabal,Bacabal-A220,Bacabal,A220,-4.243056,-44.794993,22 ,166,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BACABAL/MA,28.00,04°14'S,44°47'W,IGUAL,1
142,balsas,Balsas-A204,Balsas,A204,-7.455609,-46.027546,271 ,159,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BALSAS/MA,254.00,07°27'S,46°01'W,IGUAL,1
143,barra-do-corda,Barra do Corda-A221,Barra do Corda,A221,-5.506782,-45.237053,154 ,167,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BARRA DO CORDA/MA,153.00,05°30'S,45°14'W,IGUAL,1
144,buriticupu,Buriticupu-A238,Buriticupu,A238,-4.320597,-46.449503,175 ,173,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BURITICUPÚ/MA,175.00,04°19'S,46°26'W,IGUAL,1
145,carolina,Carolina-A205,Carolina,A205,-7.337269,-47.459839,183 ,160,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CAROLINA/MA,192.00,07°20'S,47°27'W,IGUAL,1
